GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMRZE001,AMRZE002,AMRZE003,AMRZE004,AMRZE005,AMRZE006,AMRZE007,AMRZE008,AMRZE009,AMRZE010,AMRZE011,AMRZE012,AMRZE013,AMRZE014,AMRZE015,AMRZE016,AMRZE017,AMRZE018,AMRZE019,AMRZE020,AMRZE021,AMRZE022,AMRZE023,AMRZE024,AMRZE025,AMR7E001,AMR7E002,AMR7E003,AMR7E004,AMR7E005,AMR7E006,AMR7E007,AMR7E008,AMR7E009,AMR7E010,AMR7E011,AMR7E012,AMR7E013,AMR7E014,AMR7E015,AMR7E016,AMR7E017,AMR8E001,AMUDE001,AMWBE001,NAME_M,AMRZM001,AMRZM002,AMRZM003,AMRZM004,AMRZM005,AMRZM006,AMRZM007,AMRZM008,AMRZM009,AMRZM010,AMRZM011,AMRZM012,AMRZM013,AMRZM014,AMRZM015,AMRZM016,AMRZM017,AMRZM018,AMRZM019,AMRZM020,AMRZM021,AMRZM022,AMRZM023,AMRZM024,AMRZM025,AMR7M001,AMR7M002,AMR7M003,AMR7M004,AMR7M005,AMR7M006,AMR7M007,AMR7M008,AMR7M009,AMR7M010,AMR7M011,AMR7M012,AMR7M013,AMR7M014,AMR7M015,AMR7M016,AMR7M017,AMR8M001,AMUDM001,AMWBM001
"G1700590","2016-2020","IL",,,"Illinois","17","Gallatin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17059",,,"Gallatin County, Illinois",3629,15,0,0,0,0,3,0,30,2,64,67,54,91,71,90,1210,197,377,585,354,274,108,8,29,2274,304,150,124,111,107,128,143,99,64,250,184,258,105,118,54,75,43092,2744,76400,"Gallatin County, Illinois",47,13,12,12,12,12,4,12,30,3,49,33,32,40,31,63,138,66,95,133,95,82,51,7,27,104,95,59,45,38,52,72,54,39,29,87,53,64,51,59,27,49,6027,36,4207
"G1700610","2016-2020","IL",,,"Illinois","17","Greene County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17061",,,"Greene County, Illinois",9238,46,0,0,0,0,0,5,0,3,16,152,74,160,160,50,3626,667,643,1293,929,1020,316,29,49,4984,328,270,323,206,249,239,264,265,253,439,521,572,477,290,128,160,51746,6425,83400,"Greene County, Illinois",43,30,19,19,19,19,19,8,19,4,20,61,41,55,52,27,259,143,115,173,146,142,95,28,51,164,107,84,76,52,64,54,80,70,76,76,86,117,107,98,57,62,3839,36,4943
"G1700630","2016-2020","IL",,,"Illinois","17","Grundy County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17063",,,"Grundy County, Illinois",33937,146,0,0,1,0,66,2,33,162,2,172,261,370,332,640,9442,1324,2855,6305,3196,5657,2559,198,214,20071,564,619,640,755,489,821,758,766,768,1460,2309,3060,2243,1709,1886,1224,75767,21113,199800,"Grundy County, Illinois",199,68,28,28,3,28,62,3,49,98,3,79,101,144,120,213,551,258,370,589,378,503,397,86,95,294,174,214,206,243,127,243,222,198,169,231,345,393,284,306,240,251,3387,94,6013
"G1700650","2016-2020","IL",,,"Illinois","17","Hamilton County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17065",,,"Hamilton County, Illinois",5826,31,0,5,41,0,10,8,0,34,0,225,86,68,170,108,1552,221,435,1002,595,727,439,36,33,3366,183,171,216,168,245,81,163,52,189,339,445,378,284,189,170,93,55977,4118,104900,"Hamilton County, Illinois",68,32,17,10,60,17,16,14,17,49,17,138,57,34,91,55,239,88,130,239,139,161,121,34,38,201,87,91,93,96,81,48,79,28,85,105,118,107,94,129,85,52,4778,38,12355
"G1700670","2016-2020","IL",,,"Illinois","17","Hancock County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17067",,,"Hancock County, Illinois",12883,26,0,0,3,0,0,6,0,0,82,83,87,240,192,126,4122,540,1027,1856,1623,2033,616,112,109,7542,318,448,311,588,411,310,342,371,295,675,815,1278,543,349,269,219,55818,9248,88500,"Hancock County, Illinois",84,18,19,19,7,19,19,10,19,19,91,38,51,95,66,44,257,101,181,183,146,270,115,50,55,199,82,125,85,130,114,77,82,86,95,107,127,198,97,86,87,67,3216,63,3360
"G1700690","2016-2020","IL",,,"Illinois","17","Hardin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17069",,,"Hardin County, Illinois",3014,35,0,0,0,10,39,0,0,0,3,43,69,87,58,56,1033,55,331,365,492,225,80,23,10,1515,133,70,67,91,94,66,75,57,94,180,194,145,115,55,46,33,50847,2347,77500,"Hardin County, Illinois",99,40,12,12,12,17,60,12,12,12,7,29,48,53,46,41,138,42,105,98,137,74,49,22,15,151,72,35,44,41,55,36,46,37,57,87,69,52,54,34,30,21,7574,118,7172
"G1700710","2016-2020","IL",,,"Illinois","17","Henderson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17071",,,"Henderson County, Illinois",5047,5,0,0,0,0,0,0,3,1,17,46,39,172,61,60,1842,268,341,775,533,662,168,2,52,3028,74,126,169,198,202,137,112,207,131,283,356,493,263,166,71,40,55759,3872,85800,"Henderson County, Illinois",37,5,17,17,17,17,17,17,4,3,19,34,28,69,35,33,151,73,81,112,110,136,61,3,57,104,29,45,76,59,68,55,45,83,47,68,85,99,63,76,37,31,3334,36,6643
"G1700730","2016-2020","IL",,,"Illinois","17","Henry County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17073",,,"Henry County, Illinois",34482,99,0,13,0,0,19,8,24,53,106,281,225,698,612,473,10345,1397,2737,4886,4318,5679,1893,486,130,19996,897,939,867,1088,926,1034,1133,822,737,1555,1960,2807,2219,1124,1027,861,60000,22168,122200,"Henry County, Illinois",136,57,25,22,25,25,27,12,22,39,94,102,130,182,188,140,636,239,305,471,395,449,304,180,63,336,208,177,169,225,207,250,232,192,192,229,248,295,274,205,224,214,2270,110,5156
"G1700750","2016-2020","IL",,,"Illinois","17","Iroquois County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17075",,,"Iroquois County, Illinois",19478,193,2,0,0,37,49,16,50,183,38,145,247,369,545,447,6712,963,1784,2796,1902,2132,716,95,57,11845,665,700,664,578,520,651,515,632,649,958,1284,1708,907,542,524,348,54445,13514,107300,"Iroquois County, Illinois",63,71,3,22,22,21,31,13,36,58,24,49,90,96,132,115,330,147,172,276,207,224,113,39,30,234,116,142,146,122,98,152,171,106,115,147,155,211,121,113,110,93,3625,77,4418
"G1700770","2016-2020","IL",,,"Illinois","17","Jackson County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17077",,,"Jackson County, Illinois",34883,272,0,0,0,15,54,0,12,87,28,413,289,414,610,372,6642,1843,2144,6208,3083,5674,4312,825,1586,24208,3274,1585,1736,2079,985,1196,1312,1365,841,1459,1696,2480,1217,888,1176,919,39689,28947,114300,"Jackson County, Illinois",205,115,28,28,28,18,48,28,26,63,40,119,122,135,161,123,587,274,279,518,392,402,435,161,285,512,403,238,356,368,219,241,353,201,175,237,262,313,211,176,215,196,2442,238,5078
"G1700790","2016-2020","IL",,,"Illinois","17","Jasper County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17079",,,"Jasper County, Illinois",6694,24,0,0,0,0,10,0,0,4,23,133,38,115,58,89,2097,376,626,674,1170,816,362,47,32,3791,191,236,156,218,91,164,225,241,115,357,468,383,460,152,250,84,55911,4352,99900,"Jasper County, Illinois",22,31,17,17,17,17,15,17,17,8,23,79,41,77,28,42,228,118,116,113,164,142,127,40,24,130,57,105,67,97,41,62,84,108,55,113,105,97,118,61,114,42,4724,27,10204
"G1700810","2016-2020","IL",,,"Illinois","17","Jefferson County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17081",,,"Jefferson County, Illinois",26499,91,0,0,0,7,19,8,28,63,57,515,394,658,697,363,6664,1584,3043,4152,3552,2965,1168,299,172,14792,894,843,724,859,780,827,596,933,724,1240,1560,1990,1154,641,506,521,51662,17031,97100,"Jefferson County, Illinois",175,52,25,25,25,11,26,11,24,38,28,103,102,124,112,79,382,196,272,290,362,250,176,88,67,330,155,188,152,152,141,140,128,173,131,164,214,224,155,113,110,123,2698,139,4362
"G1700830","2016-2020","IL",,,"Illinois","17","Jersey County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17083",,,"Jersey County, Illinois",15152,81,0,0,0,0,0,26,0,11,60,190,99,197,223,165,4724,750,956,2083,1912,2296,1022,194,163,8158,432,216,536,323,220,458,281,329,311,509,745,1060,947,658,584,549,67845,10160,148800,"Jersey County, Illinois",79,73,22,22,22,22,22,48,22,13,49,91,78,101,79,65,413,153,187,268,316,310,235,105,101,283,142,85,170,125,77,143,105,136,130,166,199,227,179,163,159,174,6198,81,9126
"G1700850","2016-2020","IL",,,"Illinois","17","Jo Daviess County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17085",,,"Jo Daviess County, Illinois",16073,58,3,0,5,0,0,9,34,53,1,405,40,193,222,200,4952,635,1113,2306,1599,2643,1261,227,114,10069,410,341,473,516,523,597,565,439,382,846,1181,1599,875,433,513,376,59223,13723,156300,"Jo Daviess County, Illinois",37,44,6,22,8,22,22,10,44,38,3,139,20,77,105,72,282,154,183,244,214,299,174,81,39,237,118,115,117,137,121,125,178,125,96,170,218,206,154,100,123,137,3078,43,8132
"G1700870","2016-2020","IL",,,"Illinois","17","Johnson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17087",,,"Johnson County, Illinois",9151,81,0,0,5,0,0,28,3,9,45,288,182,244,498,241,2236,769,622,1521,911,1109,252,65,42,4174,315,159,159,256,243,167,168,178,254,398,423,568,478,176,137,95,55363,5625,117500,"Johnson County, Illinois",54,43,19,19,6,19,19,27,8,11,34,74,64,62,114,100,201,159,104,230,130,163,59,45,28,206,105,46,58,74,63,57,51,62,76,100,98,99,108,69,53,44,3179,99,14400
"G1700890","2016-2020","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17089",,,"Kane County, Illinois",348436,7650,95,11,182,533,1619,1257,1183,8457,1835,4273,5886,4685,5011,7250,68080,11471,26086,45748,26363,78305,33481,5064,3911,181845,6811,4407,4829,5269,5710,6022,6684,6777,5466,12526,17119,25656,22109,14793,18015,19652,83374,189301,245500,"Kane County, Illinois",86,871,60,17,91,213,412,316,286,790,380,655,763,537,570,803,2057,1095,1318,1619,1447,2312,1394,677,616,967,747,601,539,658,676,709,927,730,570,1003,1128,1134,1339,1189,1011,1088,1859,188,3378
"G1700910","2016-2020","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17091",,,"Kankakee County, Illinois",72808,1119,6,36,6,143,101,129,106,365,136,1014,648,1484,1609,1643,22006,3218,5858,11344,6851,9433,4363,835,355,40297,2550,1473,1888,2215,1930,1671,1778,2010,1603,3211,4290,5225,4153,2631,2141,1528,59370,45626,152800,"Kankakee County, Illinois",77,223,8,37,11,88,44,73,66,138,83,237,192,248,273,253,850,319,483,645,530,642,431,174,103,604,286,245,288,348,369,260,325,323,274,379,444,440,368,328,217,251,2091,157,2909
"G1700930","2016-2020","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17093",,,"Kendall County, Illinois",81001,622,12,0,25,52,15,0,415,716,80,490,928,729,1065,1096,16859,1999,6763,11292,8783,18732,8957,735,636,41398,1081,651,456,523,980,651,818,1211,1049,3129,4179,6856,6279,4327,5031,4177,96854,42378,243700,"Kendall County, Illinois",252,222,19,28,47,55,21,28,429,362,70,270,372,259,395,364,1342,408,866,1076,1194,1607,1188,332,226,354,389,377,202,222,370,244,267,348,363,688,717,878,702,767,638,587,3945,47,5701
"G1700950","2016-2020","IL",,,"Illinois","17","Knox County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17095",,,"Knox County, Illinois",34885,341,7,6,0,0,0,61,38,110,75,352,357,1179,994,437,9747,2556,2831,5086,4011,4317,1862,338,180,20428,1808,1392,1574,1280,850,1301,1007,1111,771,1572,2075,2426,1301,897,670,393,44464,23890,83700,"Knox County, Illinois",202,138,12,10,28,28,28,53,47,48,62,89,94,310,184,128,576,309,273,403,496,388,268,106,88,399,371,238,283,251,146,220,172,195,125,217,267,226,161,153,131,98,2327,178,2220
"G1700970","2016-2020","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17097",,,"Lake County, Illinois",458751,7215,183,244,42,578,1046,832,1175,5470,1002,4276,4171,4247,4242,7504,79647,12553,26966,56118,29965,123494,63297,16071,8413,248684,9719,6069,6187,7764,7359,7922,6760,8383,6573,14850,20911,30730,26451,19407,25657,43942,92654,264681,271700,"Lake County, Illinois",162,944,127,118,32,190,247,293,269,572,243,470,564,612,505,793,2252,791,1185,2209,1248,2196,1771,1025,538,1072,915,630,659,690,713,736,542,791,536,921,1105,1256,1109,1115,1196,1394,1515,366,3062
"G1700990","2016-2020","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17099",,,"LaSalle County, Illinois",76942,675,57,27,57,19,60,49,129,402,79,746,916,1374,1907,1503,23183,4307,7766,11190,8360,9325,3809,561,441,45089,2601,1613,2038,2158,2107,2647,2230,2102,1407,3607,5614,5942,4374,2526,2542,1581,60069,50120,130600,"LaSalle County, Illinois",112,182,78,36,76,22,49,49,90,137,45,178,213,229,299,222,858,434,569,647,505,691,385,131,129,525,400,254,299,311,278,333,374,289,215,394,451,450,423,276,295,199,1596,166,3350
"G1701010","2016-2020","IL",,,"Illinois","17","Lawrence County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17101",,,"Lawrence County, Illinois",11574,99,29,0,23,0,8,0,3,12,116,214,240,485,317,195,3242,989,956,1450,1581,1071,449,64,31,6166,240,278,372,390,415,316,389,299,240,563,605,717,588,239,296,219,53087,7175,80500,"Lawrence County, Illinois",107,61,74,19,23,19,14,19,6,17,71,78,93,164,73,83,345,214,183,151,268,189,126,49,35,330,76,86,134,135,126,114,120,119,88,267,135,140,120,75,118,94,7478,194,4597
"G1701030","2016-2020","IL",,,"Illinois","17","Lee County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17103",,,"Lee County, Illinois",25052,267,0,0,3,22,15,15,29,49,58,178,301,545,685,437,6984,1601,2092,4247,2836,3096,1209,295,88,13634,740,885,710,599,583,633,606,524,616,922,1544,2071,1279,577,828,517,59986,15086,122600,"Lee County, Illinois",105,137,25,25,6,22,17,17,26,47,36,71,74,124,150,159,433,264,256,496,296,339,179,127,56,297,195,244,181,165,148,141,161,112,172,157,211,291,232,143,192,141,3816,168,6104
"G1701050","2016-2020","IL",,,"Illinois","17","Livingston County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17105",,,"Livingston County, Illinois",25269,226,0,4,22,1,9,23,54,48,23,339,385,695,482,272,8989,1646,2023,3736,2100,2817,981,266,128,14366,599,647,811,573,1064,794,574,471,502,1283,1568,2087,1469,821,695,408,58676,15884,114000,"Livingston County, Illinois",140,100,25,6,24,4,31,31,52,44,18,101,115,162,122,86,519,208,229,316,292,301,181,120,68,284,154,156,181,144,237,165,134,124,126,226,198,225,241,137,152,121,3014,158,3696
"G1701070","2016-2020","IL",,,"Illinois","17","Logan County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17107",,,"Logan County, Illinois",20138,138,7,0,0,3,14,28,18,41,56,246,231,501,460,280,6096,1273,1801,3150,1861,2676,1018,152,88,10958,662,340,465,405,585,578,657,403,647,894,1118,1569,821,647,723,444,58122,12040,107600,"Logan County, Illinois",125,68,11,22,22,5,20,38,19,36,32,75,75,111,108,76,360,172,218,236,219,268,145,88,54,247,186,96,98,101,126,175,139,81,167,157,199,178,124,108,161,123,2854,174,4765
"G1701090","2016-2020","IL",,,"Illinois","17","McDonough County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17109",,,"McDonough County, Illinois",18156,61,0,0,0,2,0,4,0,24,16,151,111,188,175,135,4975,615,1336,2553,1931,2896,2083,179,721,11573,1585,636,653,792,849,482,430,475,427,856,1025,1105,882,606,464,306,43591,14392,91700,"McDonough County, Illinois",119,37,25,25,25,4,25,8,25,42,20,78,58,64,85,74,405,156,191,378,276,329,381,88,148,398,349,181,168,242,309,122,118,126,114,180,204,186,186,127,116,126,4551,124,5113
"G1701110","2016-2020","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17111",,,"McHenry County, Illinois",209283,1421,16,17,120,14,260,322,536,1195,386,1314,1163,1770,2031,3455,47926,6173,16107,32340,18992,49360,19171,3289,1905,113269,3449,2284,2493,3032,2999,3542,3595,3617,3714,7140,11175,16661,13890,11198,12360,12120,90014,118900,234000,"McHenry County, Illinois",163,259,24,20,84,22,143,204,254,331,139,324,232,314,362,447,1546,660,845,1423,1043,1512,1059,446,397,608,521,386,317,492,412,487,422,514,456,608,792,856,776,961,714,703,2200,190,3180
"G1701130","2016-2020","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17113",,,"McLean County, Illinois",105002,337,28,11,4,6,61,73,42,163,43,553,360,489,1033,754,21541,3756,6279,14141,8522,30851,11640,2312,2003,66225,6371,2177,2227,2954,2205,2659,2393,2549,1964,4573,5949,9124,6091,4731,5636,4622,68037,72580,166400,"McLean County, Illinois",55,118,26,14,6,10,63,73,38,95,43,283,126,116,276,157,902,374,536,879,590,914,647,516,266,689,553,345,352,507,389,396,428,347,285,526,502,595,456,449,485,400,2128,363,2317
"G1701150","2016-2020","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17115",,,"Macon County, Illinois",72285,620,24,2,0,2,32,38,48,98,124,591,724,1127,1581,1290,20315,4500,6327,11377,6421,11316,4338,875,515,43810,3195,2346,2006,2307,2362,1881,2420,2207,2052,3360,5037,5451,3350,2002,1999,1835,53725,50364,103100,"Macon County, Illinois",97,154,27,4,28,4,27,38,42,71,75,153,210,187,358,218,878,419,476,680,537,769,409,182,142,558,368,287,297,275,364,362,348,281,290,372,438,501,338,289,280,326,1750,182,2823
"G1701170","2016-2020","IL",,,"Illinois","17","Macoupin County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17117",,,"Macoupin County, Illinois",32156,215,0,0,0,3,0,22,9,22,26,367,264,674,527,586,11086,1791,3102,4227,3294,4059,1483,296,103,18577,1116,694,984,1107,1080,968,714,964,814,1308,2107,2534,1730,1145,936,376,56264,21769,102900,"Macoupin County, Illinois",73,108,25,25,25,6,25,19,10,17,21,111,86,169,133,160,520,249,373,327,289,408,280,125,53,337,191,150,177,278,199,169,129,181,228,200,253,265,261,204,170,101,3300,77,4925
"G1701190","2016-2020","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17119",,,"Madison County, Illinois",185257,955,29,0,0,24,49,58,50,394,396,1701,1347,3029,3015,2457,44494,8977,15143,31779,19940,32264,14660,2373,2123,108429,5959,4530,4373,5177,5051,4492,4196,4198,4098,8871,12443,13797,11018,7507,6940,5779,64045,119660,138500,"Madison County, Illinois",118,229,31,28,28,26,49,39,38,189,158,280,241,480,378,356,1503,706,967,1289,1036,1229,919,328,323,965,584,588,566,552,508,472,506,408,490,774,816,673,745,582,590,527,1578,297,2423
"G1701210","2016-2020","IL",,,"Illinois","17","Marion County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17121",,,"Marion County, Illinois",26188,225,2,0,0,4,18,4,3,59,47,499,276,689,584,351,7424,1534,2534,4481,3208,2731,1167,237,111,16126,1057,822,1058,1081,735,888,967,694,772,1234,1939,2034,1494,488,464,399,49925,18272,81600,"Marion County, Illinois",105,119,3,25,25,9,17,7,7,26,32,119,101,168,141,83,423,218,254,362,309,313,196,67,67,256,179,153,176,171,146,167,242,146,142,195,225,205,201,112,99,125,2470,82,2874
"G1701230","2016-2020","IL",,,"Illinois","17","Marshall County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17123",,,"Marshall County, Illinois",8379,27,0,0,0,0,0,0,0,24,13,107,56,146,109,156,2738,461,942,1208,868,1155,273,65,31,4922,271,303,232,271,274,203,167,226,241,414,503,725,547,238,209,98,57303,5919,105700,"Marshall County, Illinois",36,19,19,19,19,19,19,19,19,21,11,46,26,58,38,74,184,93,128,171,123,142,64,32,20,167,62,76,60,67,58,58,46,55,63,79,90,123,88,57,58,35,3497,54,5087
"G1701250","2016-2020","IL",,,"Illinois","17","Mason County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17125",,,"Mason County, Illinois",9785,90,0,22,0,15,13,0,0,0,69,184,69,201,286,117,3271,655,840,1273,1064,1130,432,49,5,5917,334,250,291,383,461,304,359,248,266,542,604,654,479,302,206,234,50883,7026,87600,"Mason County, Illinois",37,40,19,25,19,23,20,19,19,19,71,61,47,68,81,41,241,105,130,206,176,169,104,29,6,178,78,71,77,132,114,77,79,65,88,114,113,100,112,64,87,60,2457,62,4808
"G1701270","2016-2020","IL",,,"Illinois","17","Massac County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17127",,,"Massac County, Illinois",10064,82,0,0,0,0,44,1,0,113,29,116,115,243,200,193,3084,504,879,1793,1284,1002,314,40,28,5619,347,396,423,312,243,249,230,352,225,434,670,743,519,289,132,55,51195,7099,88500,"Massac County, Illinois",101,39,19,19,19,19,53,3,19,129,33,78,55,114,87,92,337,134,162,269,223,183,112,31,26,280,113,136,131,99,76,95,75,126,82,115,156,147,133,103,59,36,5197,49,4798
"G1701290","2016-2020","IL",,,"Illinois","17","Menard County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17129",,,"Menard County, Illinois",8667,33,0,0,0,0,1,0,0,11,2,42,36,59,156,72,2710,312,879,1298,1040,1245,587,119,65,5211,200,95,175,190,135,199,246,188,145,339,647,868,809,384,383,208,77550,5737,151900,"Menard County, Illinois",63,33,19,19,19,19,2,19,19,16,4,29,26,35,71,40,246,83,129,179,166,189,133,57,43,126,69,44,67,68,50,86,86,54,57,76,126,129,162,82,81,73,5810,53,9192
"G1701310","2016-2020","IL",,,"Illinois","17","Mercer County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17131",,,"Mercer County, Illinois",11108,88,0,0,0,0,3,42,0,0,14,72,100,153,220,172,3751,721,998,1668,1111,1287,590,90,28,6477,331,174,313,290,343,321,373,286,288,657,680,946,684,370,283,138,57182,7431,111000,"Mercer County, Illinois",52,56,19,19,19,19,4,26,19,19,15,37,49,60,64,55,255,161,145,220,180,171,110,39,26,178,90,51,100,77,87,76,98,84,89,154,109,124,116,81,90,49,3231,75,5602
"G1701330","2016-2020","IL",,,"Illinois","17","Monroe County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17133",,,"Monroe County, Illinois",24447,36,0,0,0,0,0,0,15,10,20,133,93,355,184,178,5640,787,2092,3708,2258,5602,2653,388,295,13576,268,341,401,446,318,332,695,530,270,761,1380,1897,1726,1299,1524,1388,89648,14333,220600,"Monroe County, Illinois",41,28,25,25,25,25,25,25,25,21,28,67,74,176,84,105,414,200,327,449,360,452,411,147,104,216,117,156,157,182,104,127,205,207,113,159,267,254,341,254,258,228,5155,42,7638
"G1701350","2016-2020","IL",,,"Illinois","17","Montgomery County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17135",,,"Montgomery County, Illinois",20836,77,0,1,0,0,10,0,30,14,68,341,447,613,678,210,6898,1350,1505,2983,1838,2361,1185,146,81,11619,920,656,729,655,638,358,453,492,403,1040,1160,1726,996,626,495,272,54886,13122,90300,"Montgomery County, Illinois",274,50,22,3,22,22,12,22,21,13,46,130,131,164,190,77,372,338,183,324,294,296,226,56,45,549,178,185,199,174,196,96,107,127,95,159,203,240,155,139,132,101,3277,484,4444
"G1701370","2016-2020","IL",,,"Illinois","17","Morgan County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17137",,,"Morgan County, Illinois",23741,189,0,25,16,20,22,20,4,89,17,243,335,522,458,459,8203,1226,2074,3262,1820,3146,1137,311,143,13560,766,732,773,684,745,827,679,712,477,1047,1492,1677,1298,640,598,413,53002,15467,109700,"Morgan County, Illinois",172,82,25,33,28,31,25,23,5,55,16,94,152,155,115,152,561,221,276,399,275,316,210,130,77,303,187,145,165,203,181,162,146,203,105,171,206,213,249,166,190,142,2938,156,4214
"G1701390","2016-2020","IL",,,"Illinois","17","Moultrie County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17139",,,"Moultrie County, Illinois",9817,123,7,0,0,0,0,4,4,12,13,709,207,104,75,113,2887,515,746,1323,961,1347,535,56,76,6043,293,187,263,312,238,261,240,318,270,490,675,1138,627,195,309,227,64033,6513,108300,"Moultrie County, Illinois",28,68,11,19,19,19,19,7,9,16,26,170,91,51,57,64,290,120,119,207,150,227,117,40,49,153,91,70,112,76,82,81,104,72,86,131,122,213,147,57,77,96,6394,90,6373
"G1701410","2016-2020","IL",,,"Illinois","17","Ogle County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17141",,,"Ogle County, Illinois",35492,269,2,0,39,134,23,46,170,92,49,486,213,538,842,498,10302,1771,2700,5568,4026,5032,2262,199,231,20967,934,619,1084,673,1108,935,845,866,978,1804,2767,2936,2281,1075,1291,771,63643,22687,150400,"Ogle County, Illinois",51,123,4,28,45,132,25,56,121,82,52,179,116,182,240,122,635,252,373,492,436,457,279,83,96,319,234,125,246,163,231,193,197,177,236,264,350,384,253,173,191,173,2156,87,4136
"G1701430","2016-2020","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17143",,,"Peoria County, Illinois",121992,838,42,12,29,61,140,11,262,322,314,880,1072,1542,2488,1985,29242,5180,9608,18543,11486,23312,10623,2484,1516,73519,6078,3636,3632,3483,3298,3528,3152,3064,3034,6521,7190,9026,5875,3511,4673,3818,55729,83680,130700,"Peoria County, Illinois",22,212,50,17,37,59,93,16,112,130,119,221,269,309,405,314,1155,622,647,1042,672,1024,682,334,296,780,513,449,413,378,493,491,458,344,453,638,593,631,565,397,508,377,1242,229,3221
